Publication Name,Year Founded,Status,Status Checked Date,Print Publication,Electronic Publication,Audio Publication,Lower Wordcount,Upper Wordcount,Submission Type,Demographic Restrictions,URL,Payment Currency,Payment,Fantasy,SciFi,Horror,Other,Notes
khōréō Magazine,2020,Active,7/10/2026,n,y,n,n/a,5000,Reading periods,Submissions are restricted to people who identify as immigrants or members of a diaspora.,https://khoreomag.com/,USD,$0.10 per word,y,y,y,n,
Lightspeed Magazine,2009,Active,7/10/2026,n,y,y,n/a,10000,Reading periods,,https://www.lightspeedmagazine.com/,USD,$0.08 per word,y,y,n,n,
Mysterion,unknown,Active,7/10/2026,n,y,n,n/a,10000,Reading periods,,https://www.mysteriononline.com/,USD,$0.08 per word,y,y,y,y,Christian-themed stories.
Night Shades Magazine,2025,Active,7/10/2026,n,y,n,n/a,500,Reading periods,,https://www.nightshadesmag.com/,USD,$75 ,y,y,y,n,
Nightmare Magazine,2012,Active,7/10/2026,n,y,y,n/a,7500,Reading periods,,https://www.nightmare-magazine.com/,USD,$0.08 per word,y,n,y,n,Dark fantasy or horror.
"Orange and Bee, The",2023,Active,7/10/2026,n,y,n,n/a,4000,Reading periods,,https://theorangebee.substack.com/,USD,$0.08 per word,y,n,n,y,stories inspired by folklore
Orion's Belt,2021,Active,7/10/2026,y,y,n,n/a,1000,Reading periods,,https://www.orions-belt.net/,USD,$0.08 per word,y,y,n,n,
OTHERSIDE,2025,Active,7/10/2026,y,y,n,500,4000,Reading periods,Submissions are restricted to 2SLGBTQIA+ authors and artists.,https://othersidespec.com/,USD,$0.08 per word,y,y,y,y,
Plott Hound Magazine,2024,Active,7/10/2026,n,y,n,n/a,5000,Reading periods,,https://plotthoundmag.com/,USD,$0.08 per word,y,y,y,n,Animal stories
PodCastle,2007,Active,7/10/2026,n,y,y,n/a,6000,Reading periods,,https://podcastle.org/,USD,$0.08 per word,y,n,n,n,
Reckoning,2016,Active,7/10/2026,y,y,n,n/a,15000,Rolling,,https://reckoning.press/,USD,$0.15 per word,y,y,n,y,Environmental Justice
Small Wonders Magazine,unknown,Active,7/10/2026,n,y,n,n/a,1000,Reading periods,,https://smallwondersmag.com/,USD,$0.10 per word,y,y,n,n,
Strange Horizons,2000,Active,7/10/2026,n,y,y,n/a,10000,Reading periods,,http://strangehorizons.com/,USD,$0.10 per word,y,y,y,n,
Three-Lobed Burning Eye Magazine,1999,Active,7/10/2026,u,u,u,n/a,7500,Reading periods,,https://www.3lobedmag.com/,USD,$0.08 per word,y,y,y,y,
Tractor Beam,2025,Active,7/10/2026,n,y,n,n/a,6000,Always open,,https://www.tractorbeam.earth/,USD,"$1,000 ",n,y,n,n,"Stories "" set on a future Earth transformed by new approaches to soil"""
Uncanny Magazine,2014,Active,7/10/2026,n,y,y,750,30000,Reading periods,,https://uncannymagazine.com/,USD,$0.10 per word,y,y,n,n,
Utopia Science Fiction Magazine,2019,Active,7/10/2026,n,y,n,100,5000,Rolling,,https://www.utopiasciencefiction.com/,USD,$0.08 per word,n,y,n,n,
